position,title
Q26869650,monarch
Q35918814,Governor-General
Q30101336,Prime Minister
Q110287715,Minister of Agriculture
Q110287730,Minister of Education
Q110287729,Minister of Environment
Q108804837,Minister of Foreign Affairs
Q110287725,Minister of Health
Q110287760,Minister of International Trade
Q110287769,Minister of Justice
Q110287713,Minister of Public Infrastructure
Q110287738,Minister of Social Development
Q110287722,Minister of Tourism
Q110287862,Speaker of the National Assembly
Q7240355,Premier of Nevis
Q110287873,Commander of the Defence Force
